GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
blg475e-project-2026,edu.itu.blg475e.gemini,HE027_flipCase,0,49,0,6,0,7,0,5,0,2
blg475e-project-2026,edu.itu.blg475e.gemini,HE109_moveOneBall,0,59,0,6,0,9,0,5,0,2
blg475e-project-2026,edu.itu.blg475e.gemini,HE139_specialFactorial,0,32,0,4,0,7,0,4,0,2
blg475e-project-2026,edu.itu.blg475e.gemini,HE035_maxElement,0,8,0,0,0,2,0,2,0,2
blg475e-project-2026,edu.itu.blg475e.gemini,HE015_stringSequence,0,13,0,0,0,4,0,2,0,2
blg475e-project-2026,edu.itu.blg475e.gemini,HE021_rescaleToUnit,0,35,0,0,0,5,0,3,0,3
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE072_willItFly,0,40,0,6,0,10,0,5,0,2
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE109_moveOneBall,0,60,0,6,0,13,0,5,0,2
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE000_hasCloseElements,0,42,0,6,0,6,0,5,0,2
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE018_howManyTimes,0,31,0,4,0,6,0,4,0,2
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE132_isNested,0,72,0,12,0,13,0,8,0,2
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE003_belowZero,0,27,0,4,0,8,0,4,0,2
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE023_strlen,0,6,0,0,0,2,0,2,0,2
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE011_stringXor,0,34,0,4,0,7,0,4,0,2
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE034_unique,0,15,0,0,0,4,0,2,0,2
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE083_startsOneEnds,0,18,0,2,0,4,0,3,0,2
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE014_allPrefixes,0,24,0,2,0,5,0,3,0,2
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE017_parseMusic,0,54,0,6,0,9,0,6,0,2
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE024_largestDivisor,0,19,0,4,0,5,0,4,0,2
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE035_maxElement,0,8,0,0,0,2,0,2,0,2
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE028_concatenate,0,7,0,0,0,2,0,2,0,2
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE009_rollingMax,0,51,0,6,0,11,0,5,0,2
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE047_median,0,46,0,2,0,6,0,3,0,2
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE025_factorize,0,30,0,4,0,9,0,4,0,2
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE040_triplesSumToZero,0,53,0,8,0,7,0,6,0,2
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE007_filterBySubstring,0,28,0,4,0,7,0,4,0,2
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE027_flipCase,0,38,0,4,0,7,0,4,0,2
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE015_stringSequence,0,29,0,2,0,7,0,3,0,2
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE031_isPrime,0,23,0,6,0,7,0,5,0,2
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE010_isPalindrome,0,54,0,8,0,15,0,7,0,3
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE012_longest,0,34,0,6,0,9,0,5,0,2
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE139_specialFactorial,0,25,0,2,0,6,0,3,0,2
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE021_rescaleToUnit,0,42,0,2,0,8,0,3,0,2
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE126_isSorted,0,48,0,8,0,9,0,6,0,2
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE042_incrList,0,17,0,0,0,2,0,3,0,3
blg475e-project-2026,edu.itu.blg475e.chatgpt,HE055_fib,0,24,0,4,0,6,0,4,0,2
